CD_STATION;NUM_COM;NOM_COM;NUM_DEP;codagence;ALTITUDE;PROFONDEUR_MAXI_POINT;Unité_coord_fictifs;X_FICT_L93;Y_FICT_L93;CD_ME_v2;CD_ME_niv1_surf;reseau2009;reseau2010;reseau2011;reseau2012;reseau2013;reseau2014;fi_ma_2007;fi_ma_2008;fi_ma_2009;fi_ma_2010;fi_ma_2011;fi_ma_2012;fi_ma_2013;fi_ma_2014;
09258X0033/F2;40162;LUCBARDEZ-ET-BARGUES;40;AEAG;81;67;40162_FRFG070_FRFG066;427256,3161;6326175,755;;FG066;Hors RCS et RCO;horsRCSRCODRIRE;;;;;;oui;;;;;;;
09258X0001/F;40162;LUCBARDEZ-ET-BARGUES;40;AEAG;90;42.1;40162_FRFG084_FRFG046;426715,7142;6324290,786;;FG046;Hors RCS et RCO;;;;;;oui;;oui;;;;;;
08982X0012/F1;40163;LUE;40;AEAG;58;140;40163_FRFG105_FRFG045;381304,8928;6359885,066;FG084;FG045;Hors RCS et RCO;;;;;;oui;;;;;;;;
09005X0003/F;40164;RETJONS;40;AEAG;86;47.5;40164_FRFG084_FRFG046;435179,0734;6348368,217;FG070;FG046;Hors RCS et RCO;horsRCSRCODRIRE;;;;;oui;;;;;;;;
09251X0021/F;40165;LUGLON;40;AEAG;91;147;40165_FRFG084_FRFG045;403802,081;6340262,946;;FG045;Hors RCS et RCO;;;;;;;;oui;;;;;;
09497X0014/F;40168;MAGESCQ;40;AEAG;40;213;40168_FRFG084_FRFG045;357900,3391;6305390,761;;FG045;Hors RCS et RCO;horsRCSRCODRIRE;;;;;;;oui;;;;;;
09007X0047/PZ;40169;MAILLAS;40;AEAG;143;18;40169_FRFG084_FRFG046;447449,3573;6345541,015;FG046;FG046;RCS;RCS/RCO;RCS/RCO;RCS/RCO;RCS/RCO;RCS/RCO;oui;oui;oui;oui;oui;oui;oui;oui;
09253X0046/F;40170;MAILLERES;40;AEAG;95;55;40170_FRFG084_FRFG046;422413,5935;6331879,486;FG070;FG046;RCS;RCSseul;RCSseul;RCSseul;RCSseul;RCSseul;oui;;;;;;oui;;
09781X0009/F;40177;MAYLIS;40;AEAG;55;80;40177_FRFG081_FRFG044;403589,8207;6296924,26;FG082;FG044;RCO Seul;RCOseul;RCOseul;RCOseul;RCOseul;RCOseul;oui;oui;oui;oui;oui;oui;oui;oui;
09781X0005/F;40177;MAYLIS;40;AEAG;115;117.5;40177_FRFG082_FRFG044;400513,0242;6294434,019;;FG044;Hors RCS et RCO;horsRCSRCODRIRE;;;;;oui;oui;oui;;;;;;
09781X0013/F;40177;MAYLIS;40;AEAG;70;184;40177_FRFG082_FRFG044;400161,6328;6294436,049;FG082;FG044;RCO Seul;RCOseul;RCOseul;RCOseul;RCOseul;RCOseul;;oui;oui;oui;;oui;;;
09781X0015/P219;40177;MAYLIS;40;AEAG;117;551;40177_FRFG082_FRFG044;402705,6236;6296249,549;FG082;FG044;RCS;RCS/RCO;RCS/RCO;RCS/RCO;RCS/RCO;RCS/RCO;oui;oui;oui;oui;oui;oui;oui;oui;
09495X0018/FZAC;40181;MESSANGES;40;AEAG;12;200;40181_FRFG105_FRFG045;346390,4261;6313959,3;;FG045;Hors RCS et RCO;;;;;;oui;;oui;;;;;;
09234X0008/F2;40182;MEZOS;40;AEAG;20;71;40182_FRFG105_FRFG045;368858,6129;6340095,632;FG105;FG045;Hors RCS et RCO;;;;;;oui;;;;;;;;
08977X0010/F5NP2;40184;MIMIZAN;40;AEAG;30;59;40184_FRFG105_FRFG045;363320,13;6356595,351;FG105;FG045;Hors RCS et RCO;;;;;;oui;;oui;;;;;;
08973X0033/F;40184;MIMIZAN;40;AEAG;11;176;40184_FRFG105_FRFG045;363798,8474;6352545,056;FG070;FG045;Hors RCS et RCO;horsRCSRCODRIRE;;;;;;oui;;;;;;;
08977X0036/P;40184;MIMIZAN;40;AEAG;28;10;40184_FRFG105_FRFG045;362128,9961;6351747,588;FG045;FG045;RCS;RCS/RCO;RCS/RCO;RCS/RCO;RCS/RCO;RCS/RCO;oui;oui;oui;oui;oui;oui;oui;oui;
08977X0028/FM1BIS;40184;MIMIZAN;40;AEAG;28;61;40184_FRFG105_FRFG045;358940,3513;6354650,105;FG105;FG045;Hors RCS et RCO;horsRCSRCODRIRE;;;;;;oui;;;;;;;
